Time,X,Y,Z
0.9916465,776.11,32.35128,759.04
2.00582,776.11,32.35128,759.04
3.056064,776.6877,32.3548,756.9629
4.078382,776.0236,32.3446,761.718
5.081234,776.0236,32.34428,761.718
6.135992,776.0236,32.34428,761.718
7.139057,776.0236,32.34428,761.718
8.145972,776.7773,32.3139,759.7195
9.175586,777.3571,32.31931,758.1299
10.33819,778.9695,32.31952,753.3991
11.36746,778.9695,32.31943,753.3991
12.37043,778.9695,32.31659,753.3991
13.39532,778.8585,32.3265,753.832
14.39593,776.0197,32.60825,751.3677
15.39645,776.2937,32.64829,749.5238
16.4236,775.4511,32.56613,754.3483
17.44648,775.2203,32.38113,759.4328
18.45192,775.6059,32.38088,757.9647
19.47205,775.196,32.38112,762.1426
20.527,775.196,32.38112,762.1426
21.52737,776.4494,32.33197,759.6895
22.53479,779.1698,32.2777,755.4517
23.55832,778.3278,32.37014,753.9525
24.58439,775.7968,32.37621,756.5394
25.64537,778.7737,32.34361,753.8461
26.77381,777.4012,32.62973,748.7408
27.80479,772.5251,33.30953,747.669
28.8322,768.9131,33.33579,751.0176
29.83725,770.0952,32.60378,755.6882
30.83847,774.7352,32.40554,756.9581
31.83975,778.1848,32.39392,753.5998
32.86318,776.9728,32.6269,748.8477
33.86756,775.7123,32.79491,747.9296
34.87119,779.1115,33.06219,745.9271
35.89849,782.8661,33.33179,742.422
36.90042,786.3907,34.01444,738.8802
37.901,789.0338,34.53335,734.8085
38.92661,787.8929,35.9425,730.115
39.95242,792.2656,36.0813,727.9622
40.9538,796.7141,35.7375,725.6819
41.9544,801.23,36.11181,724.044
42.97652,805.8277,36.89182,721.8198
44.00201,810.3648,37.45574,719.4312
45.0528,815.1935,37.36767,717.702
46.10535,820.1048,37.04395,716.5759
47.15646,824.2697,36.40129,713.3792
48.20857,828.5382,35.29972,710.317
49.21169,832.8755,33.99134,707.802
50.21336,837.2443,32.79929,705.369
51.26792,842.0051,32.8332,703.1029
52.26855,846.6627,32.95305,703.7729
53.32155,851.857,32.55767,704.5592
54.32171,856.4905,32.17806,705.9335
55.32266,861.4789,32.10131,706.1552
56.37698,864.7,31.97136,709.9524
57.37992,864.7001,31.69903,714.7296
58.40897,862.5181,33.01944,719.1092
59.46335,858.4982,34.96159,722.4357
60.49682,854.7348,36.7151,725.9734
61.51822,851.2802,38.0902,729.7345
62.52588,847.3381,39.02857,732.3967
63.52611,842.5499,38.30276,732.4246
64.55288,837.8672,38.32888,731.4007
65.55328,832.9888,39.4971,730.2971
66.5755,827.944,39.77134,729.4811
67.57961,823.0022,37.52831,728.6015
68.57963,818.0819,37.32248,727.7117
69.58094,813.1969,37.03572,726.6401
70.60391,808.2633,36.41291,725.2915
71.60678,804.058,35.87142,726.5093
72.63119,801.4877,34.37412,729.5693
73.63227,797.3818,34.11244,732.4307
74.63333,794.1734,33.62873,735.9767
75.65562,792.3049,32.97841,740.7298
76.65703,791.5199,32.6361,743.5291
77.70721,789.9108,32.49013,745.0815
78.76099,786.3392,31.78939,748.9504
79.79079,781.83,31.97418,751.3168
80.81857,779.0248,32.2934,755.2617
81.84276,776.7711,32.31013,759.8561
82.89714,776.2476,32.30938,762.4797
83.89761,776.2476,32.30938,762.4797
84.89816,776.2476,32.30925,762.4797
